input_text,output_text
"Martial | birthDate | 1942-01-01, Martial | occupation | military_engineer",['Martial was born on 1942-01-01. Martial is known as military engineer.']
Juventus_FC | city | Kiryushkino,['Juventus FC is located in Kiryushkino.']
"Wang_Xiaoyun | height | 17068.8_(millimetres), Coalville_Town_F.C. | ground | Estadio_Reino_de_León, Wang_Xiaoyun | club | Coalville_Town_F.C.",['Wang Xiaoyun has a height of 17068.8 approximately millimetres. Coalville Town F.C. plays at Estadio Reino de León. Wang Xiaoyun club Coalville Town F.C..']
"Ardãos | populationMetro | 27400, Ardãos | leaderTitle | Führer, Ardãos | type | City, Ardãos | populationDensity | 1147.0, Ardãos | governmentType | monocracy",['Ardãos has a metro population of 27400. Ardãos leaderTitle Führer. Ardãos type City. Ardãos populationDensity 1147.0. Ardãos governmentType monocracy.']
"Tears_on_Tape | precededBy | Lovex, Lovex | followedBy | Strong_Persuader",['Tears on Tape was preceded by Lovex. Lovex was followed by Strong Persuader.']
"Paradela | populationDensity | 1095.0, Paradela | leaderTitle | Emperor_Dezong_of_Tang, Paradela | country | Philippines, Paradela | elevationAboveTheSeaLevel | 98.0, Paradela | timeZone | UTC+05:00",['Paradela populationDensity 1095.0. Paradela leaderTitle Emperor Dezong of Tang. Paradela is based in Philippines. Paradela elevationAboveTheSeaLevel 98.0. Paradela timeZone UTC+05:00.']
Sonali_Bendre | deathDate | 1954-07-29,['Sonali Bendre deathDate 1954-07-29.']
"Leningrad_USSR | foundingDate | 1726-01-01, Serghei_Gheorghiev | deathPlace | Leningrad_USSR, Leningrad_USSR | areaTotal | 10252",['Leningrad USSR foundingDate 1726-01-01. Serghei Gheorghiev deathPlace Leningrad USSR. Leningrad USSR areaTotal 10252.']
Bergwerk | populationDensity | 380700000,['Bergwerk populationDensity 380700000.']
Joseph_Brodsky | birthDate | 1955-01-01,['Joseph Brodsky was born on 1955-01-01.']
Rawmarsh_Welfare_F.C. | areaCode | 89.0,['Rawmarsh Welfare F.C. areaCode 89.0.']
"Mesa_County | hasToItsWest | Franklin_County_Pennsylvania, Arles_bust | established | 2000, Arles_bust | location | Mesa_County, Arles_bust | municipality | Armagh, Arles_bust | category | Contributing_property, Mesa_County | hasToItsNorth | Cumberland_County_Pennsylvania",['Mesa County hasToItsWest Franklin County Pennsylvania. Arles bust established 2000. Arles bust is located in Mesa County. Arles bust municipality Armagh. Arles bust category Contributing property. Mesa County hasToItsNorth Cumberland County Pennsylvania.']
Spain | officialLanguage | Skolt_Sami,['Spain officialLanguage Skolt Sami.']
"Dallas/Fort_Worth_International_Airport | operatingOrganisation | Skyguide, Dallas/Fort_Worth_International_Airport | location | Pino_del_Oro, Dallas/Fort_Worth_International_Airport | elevationAboveTheSeaLevel | 11.5",['Dallas/Fort Worth International Airport operatingOrganisation Skyguide. Dallas/Fort Worth International Airport is located in Pino del Oro. Dallas/Fort Worth International Airport elevationAboveTheSeaLevel 11.5.']
"Funke_Mediengruppe | foundingDate | 1994-06-14, Funke_Mediengruppe | product | IBM_Lotus_QuickPlace",['Funke Mediengruppe foundingDate 1994-06-14. Funke Mediengruppe product IBM Lotus QuickPlace.']
"Koenigsegg | location | Segredo, United_States_of_America | areaTotal | 8514837.14__(square_kilometres), Koenigsegg | location | United_States_of_America, Koenigsegg | industry | Pharmaceuticals",['Koenigsegg is located in Segredo. United States of America areaTotal 8514837.14  approximately square kilometres. Koenigsegg is located in United States of America. Koenigsegg industry Pharmaceuticals.']
"Die_Bestie_in_Menschengestalt | genre | hard_bop, Die_Bestie_in_Menschengestalt | precededBy | Rainbow, Rainbow | precededBy | Fizzyology",['Die Bestie in Menschengestalt genre hard bop. Die Bestie in Menschengestalt was preceded by Rainbow. Rainbow was preceded by Fizzyology.']
"Wellington_College | campus | E-Vinyl, Wellington_College | director | Marie_Curie, Wellington_College | affiliation | University_of_Massachusetts_Amherst, Wellington_College | country | Nicaragua",['Wellington College campus E-Vinyl. Wellington College director Marie Curie. Wellington College affiliation University of Massachusetts Amherst. Wellington College is based in Nicaragua.']
"Joachim_Gauck | deathPlace | Mexico, Joachim_Gauck | birthPlace | Mexico, Mexico | ethnicGroup | African_Americans",['Joachim Gauck deathPlace Mexico. Joachim Gauck birthPlace Mexico. Mexico ethnicGroup African Americans.']
"Clarity | artist | Crazy_Horse, Clarity | producer | Crazy_Horse, Clarity | runtime | 418476000000.0, Clarity | recordedIn | Turkey, Clarity | recordedIn | Potsdam, Clarity | genre | music_of_Japan, Clarity | recordLabel | Bliss_Corporation",['Clarity artist Crazy Horse. Clarity producer Crazy Horse. Clarity runtime 418476000000.0. Clarity recordedIn Turkey. Clarity recordedIn Potsdam. Clarity genre music of Japan. Clarity recordLabel Bliss Corporation.']
"Up_Down_Fragile | publisher | Hachette_Books, Up_Down_Fragile | literaryGenre | mirabilia",['Up Down Fragile publisher Hachette Books. Up Down Fragile literaryGenre mirabilia.']
"Karl_Carstens | deathPlace | New_Jersey, Karl_Carstens | birthPlace | California, Karl_Carstens | award | Distinguished_Service_Medal_(United_States_Navy)",['Karl Carstens deathPlace New Jersey. Karl Carstens birthPlace California. Karl Carstens award Distinguished Service Medal approximately United States Navy.']
"Mermaid_(Train_song) | followedBy | Dschoint_Ventschr, Mermaid_(Train_song) | producer | Espionage_(production_team), Mermaid_(Train_song) | album | Rarities",['Mermaid (Train song) was followed by Dschoint Ventschr. Mermaid (Train song) producer Espionage approximately production team. Mermaid (Train song) album Rarities.']
