input_text,output_text
"Aleksandr Prudnikov, who played for FC Spartak Moscow, measures 185 centimetres. FC Spartak Moscow play their home games in Otkrytiye Arena.","['Aleksandr Prudnikov, who is 185 cm tall, played for FC Spartak Moscow whose home ground is the Otkrytiye Arena.', 'Aleksandr Prudnikov is 185 cm tall and plays for FC Spartak Moscow whose home ground is the Otkrytiye Arena.']"
"Liselotte Grschebina, who is from Israel, was born in Karlsruhe and Karlsruhe is in Germany. She studied in the School of Applied Arts in Stuttgart. The Modern Hebrew language is spoken in Israel.","['Liselotte Grschebina was born in Karlsruhe, Germany and studied at the School of Applied Arts in Stuttgart. Liselotte Grschebina is a national of Israel, where the language spoken is Modern Hebrew.']"
"11th Mississippi Infantry Monument, which is in Adams County, Pennsylvania (a contributing property), was established in 2000. Franklin County, Pennsylvania is located to Adams County, Pennsylvania's west and Carroll County, Maryland to Adams County, Pennsylvania's southeast.","['Adams County, Pennsylvania is located east of Franklin County and northwest of Carroll County, Maryland. It is the location of the 11th Mississippi Infantry monument which was established in 2000 and categorised as a contributing property.', 'The 11th Mississippi Infantry Monument was established in 2000 and is categorised as a contributing property. It is located in Adams County, Pennsylvania which has Franklin County to its west and Carroll County, Maryland to its southeast.', 'The 11th Mississippi Infantry Monument was established in 2000 and is categorised as a contributing property. It is located in Adams County, Pennsylvania, which has Franklin County to its west and Carroll County, Maryland to its southeast.']"
"Nie Haisheng, who was a crew member of Shenzhou 6, was born in Zaoyang and Zaoyang is part of Hubei.","['Nie Haisheng was born in Zaoyang, Hubei. He was a member of the Shenzhou 6 mission.']"
Ray Griggs is the director of Super Capers.,"['Super Capers was directed by Ray Griggs.', 'Ray Griggs is the director of Super Capers.', 'The director of Super Capers is Ray Griggs.']"
"ENAIRE operates Adolfo Suárez Madrid–Barajas Airport, which is 610 metres above the sea level. The length of Adolfo Suárez Madrid–Barajas Airport's runway, whose name is 14L/32R, is 3,500.",['Adolfo Suárez Madrid–Barajas Airport is elevated 610 metres above sea level and is operated by ENAIRE. The runway name is 14L / 32R and has a length of 3500.']
"Casey Ribicoff is the spouse of Abraham A. Ribicoff, which died in the United States. African Americans are an ethnic group of the United States.","['Abraham A. Ribicoff, who was married to Casey Ribicoff, died in the United States, where African Americans are one of the ethnic groups.', 'Casey Ribicoff was the wife of Abraham A. Ribicoff, who died in the United States, where African Americans are an ethnic group.']"
"11th Mississippi Infantry Monument, which is in Adams County, Pennsylvania (a contributing property) and Gettysburg, Pennsylvania, was established in 2000. Frederick County, Maryland is located to Adams County, Pennsylvania's southwest.",['Frederick County Maryland is southwest of Adams County Pennsylvania where the 11th Mississippi Infantry monument is located in the municipality of Gettysburg. The monument was established in 2000 and is categorised as a contributing property.']
"Chinabank, which is in Philippines, has 295 branches.","['Chinabank has 295 locations in the Philippines.', 'Chinabank has 295 banking centers in the Philippines.']"
"Casey Ribicoff is the spouse of Abraham A. Ribicoff, which is from American.","['Abraham A. Ribicoff was an American and his spouse was Casey Ribicoff.', 'American Abraham A. Ribicoff is married to Casey Ribicoff.']"
"Robert A. M. Stern designed Alan B. Miller Hall, which is located at 101 Ukrop Way. Alan B. Miller Hall's construction began in 30 March 2007. Alan B. Miller Hall, completed on June 01, 2009, houses the Mason School of Business. College of William & Mary owns it.","['Alan B. Miller Hall, owned by the College of William and Mary, is located at 101 Ukrop Way. Its construction began on 30th March 2007 and was completed on 1st June 2009. Its architect is Robert A.M. Stern. Mason School of Business are the current tenants.', 'The College of William and Mary is the owner of the Alan B Miller Hall at 101 Ukrop Way. The Hall was designed by Robert A M Stern and began construction on 30 March 2007 and was completed on 1 June 2009. The current tenants are the Mason School of Business.', 'The Mason School of Business are the current tenants of Alan B Miller Hall which is owned by the College of William and Mary and was designed by Robert A M Stern. The Hall is located at 101 Ukrop Way and was completed on 1 June 2009.']"
The label of Bootleg Series Volume 1: The Quine Tapes is Universal Music Group.,"['Universal Music Group is the record label of Bootleg Series Volume 1: The Quine Tapes.', 'The record label of Bootleg Series Volume 1: The Quine Tapes is Universal Music Group.']"
"11th Mississippi Infantry Monument, which is in Adams County, Pennsylvania and the United States, was established in 2000.","['The 11th Mississippi Infantry Monument was established in 2000 and is located in Adams County, Pennsylvania, United States.']"
"ALCO RS-3 was made in May 1950 - August 1956. ALCO RS-3, whose length is 17,068.8 millimetres, has 12 cylinders.",['The ALCO RS-3 has 12 cylinders and is 17068.8 millimetres long. It was produced between May 1950 and August 1956.']
"The metropolitan area of Ciudad Ayala has a population of 1,777,539. The Governator governs Ciudad Ayala, whose population density is 1,604. Ciudad Ayala is in the Pacific Daylight Time time zone.","['The Governator is the leader of Ciudad Ayala, which has a population density of 1604.0 and a metro area of 1777539. The time zone of Ciudad Ayala is Pacific Daylight Time.', 'Ciudad Ayala has a population density of 1604.0 inhabitants per square kilometer and a population of 1777539 people. The time zone used by Ciudad Ayala is Pacific Daylight Time and the leader is known as the Governator.']"
"Expect a Miracle, followed by Afterplay, is a compilation album, Instrumental music and Easy listening. It has a runtime of 54.56.","['Expect a Miracle is a compilation album that contains instrumental music and is easy listening. It is 54.56 long and was followed by the Brian Kelly album Afterplay.', 'Expect a Miracle is a compilation album with a runtime of 54.56. It is a musical instrument and is followed by the Brian Kelly album Afterplay.', 'Expect a Miracle is a compilation album with a runtime of 54.56. It contains instrumental music and is considered easy listening. Brian Kelly followed this album with Afterplay.']"
The Bedford Aerodrome serves Bedford Autodrome.,"['Bedford Aerodrome serves the city of Bedford.', 'The Bedford Aerodrome serves the city of Bedford.']"
The production of the Pontiac Rageous started in 1997.,['The Pontiac Rageous was manufactured by Pontiac and began production in 1997. Its production ended in 1997.']
Nurhan Atasoy was born in Turkey. The Prime Minister governs Turkey.,"['Prime Minister Nurhan Atasoy was born in Turkey.', 'Nurhan Atasoy was born in Turkey, where the title of the leader is Prime Minister.']"
HBO broadcasts Death on a Factory Farm.,"['Death on a Factory Farm was broadcast by HBO.', 'Death on a Factory Farm is broadcast by HBO.']"
"Robert A. M. Stern designed Alan B. Miller Hall, which is located at 101 Ukrop Way. Alan B. Miller Hall's construction began in 30 March 2007. Alan B. Miller Hall, which is in Virginia, houses the Mason School of Business. Its architectural style is Georgian architecture. College of William & Mary owns the Alan B. Miller Hall.","['The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way, Virginia. The Hall was designed in the Georgian style by Robert A.M. Stern and construction began on the Hall on 30 March 2007. The current tenants are the Mason School of Business.', 'The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way, Virginia. The Hall was designed in the Georgian style by Robert A.M. Stern and was started in March 2007. The current tenants are the Mason School of Business.', 'The Mason School of Business are the current tenants of Alan B Miller Hall which is owned by the College of William and Mary and located at 101 Ukrop Way, Virginia. The Hall was designed in the Georgian architectural style by Robert A M Stern and construction began on 30 March 2007.']"
"The orbital period of 1147 Stavropolis, whose apoapsis is 418,476,000,000, is 1,249.6. 1147 Stavropolis was discovered on June 11, 1929. Its rotation period is 20,378.5 and its periapsis is 260,855,000,000.","['1147 Stavropolis, discovered on 11 June 1929, has an apoapsis of 418476000000.0 and a periapsis of 260855000000.0. Its orbital period is 1249.6 and it has a rotation period of 20378.5.']"
"Alan Shepard, who graduated from NWC in 1957 with a M.A, was born in New Hampshire on November 18, 1923. He was a crew member of Apollo 14.","['Alan Shepard was born in New Hampshire on November 18th, 1923. He graduated from NWC with an M.A. in 1957 and became a member of the Apollo 14 crew.', 'Alan Shepard was born in New Hampshire on November 18th, 1923. He graduated from NWC with an M.A. in 1957 and was a crew member of Apollo 14.', 'Alan Shepard was born in New Hampshire on November 18th, 1923. He graduated from NWC in 1957 with an M.A. He was a crew member on Apollo 14.']"
